fips_cc,white,black,api,native,multiple,hispanic
16065,0.00017340414485554463,4.8816285608475795e-06,3.0051217563663097e-05,3.517866765593344e-05,7.145672996672219e-05,4.408499832045419e-05
16067,6.640707989851814e-05,2.7257824451433184e-06,7.653963554836947e-06,0.00011113260918578974,4.091359489148308e-05,0.00012860916362954136
16069,0.00017676300158217856,2.8249018067848936e-06,2.0201444792274568e-05,0.0005993698754408659,0.0001265764341955258,2.209176715119765e-05
16071,2.0659755250698583e-05,2.2301856369354425e-07,1.442960342305326e-06,6.129616333988403e-06,6.1086270150478215e-06,2.463399548527838e-06
16073,3.966287980817047e-05,1.7345888287275664e-06,6.022790993970057e-06,0.00015910351962569898,2.6423363367416157e-05,5.8806274022456546e-05
16075,9.305502315959576e-05,1.536350105444416e-06,1.4492340829240449e-05,8.15505477478457e-05,7.74232958883968e-05,6.708329650551008e-05
16077,2.6318643581995864e-05,1.75936866913796e-06,2.823183278423464e-06,5.490004194789613e-05,1.8467942138516668e-05,4.643015469065269e-05
16079,6.0322635058869054e-05,7.929548931326018e-07,4.391618433103167e-06,5.010295090390521e-05,3.1679623822224745e-05,7.587270609465741e-06
16081,4.188691917919958e-05,7.433952123118142e-07,4.077931402167226e-06,1.5457293363970755e-05,1.37799260572009e-05,3.39357921805195e-05
16083,0.00032493265872224266,1.0060615206619885e-05,7.089326899152255e-05,0.00024705018876553257,0.00017771842780987964,0.00021106407331786516
16085,4.660856996234109e-05,2.7257824451433186e-07,2.697708466049088e-06,2.2919434987956637e-05,1.733145339153103e-05,7.764635376959746e-06
16087,4.1289113607943464e-05,7.186153719014204e-07,7.716700961024136e-06,3.278012213393798e-05,2.20194694728468e-05,3.3916084984131276e-05
17001,0.000316669769851745,5.8901680655506076e-05,2.9047419064668087e-05,3.091458672794151e-05,0.000148880025855119,1.552927075391949e-05
17003,2.5077437099303086e-05,7.31996485723033e-05,1.5684351546797024e-06,7.728646681985377e-06,1.9746491978875516e-05,3.054615440174519e-06
17005,8.008061580377452e-05,2.7728641419230666e-05,5.0817299011622355e-06,2.7450020973948066e-05,2.75598521144018e-05,1.0878372406298932e-05
17007,0.0002065367587200784,2.8868514078108782e-05,4.9750763106440156e-05,9.700784111181646e-05,0.00015669338599064527,0.00021593175082575616
17009,2.6227452901634762e-05,3.216423285269116e-05,1.442960342305326e-06,2.185341475595865e-05,6.818932481913847e-06,7.981414537230196e-06
17011,0.00015932531703757226,6.31885930465042e-06,1.618625079629453e-05,3.304662719193747e-05,5.0289627054114625e-05,5.328825903375419e-05
17013,2.5376339884931142e-05,1.7345888287275664e-07,7.528488742462571e-07,2.3985455219954618e-06,2.272977493971282e-06,8.67116641081799e-07
17015,7.399110481521647e-05,3.3204986149927697e-06,3.7015069650440976e-06,1.3591757957974285e-05,2.1735347286100388e-05,8.671166410817989e-06
17017,5.4628283685209126e-05,1.204300243945139e-05,3.450557340295345e-06,1.705632371196773e-05,1.434817043069372e-05,4.572069562067667e-05
17019,0.0007239729436846077,0.0006300522222746729,0.0011678568161745063,0.0001950817024556309,0.00071669821606782,0.00020982251994540712
17021,0.00016867236177458522,1.243947988601769e-05,1.2296531612688866e-05,1.4924283247971764e-05,4.1623900358349106e-05,9.321503891629339e-06
17023,8.046057697194578e-05,1.2142121801092964e-06,3.889719183605662e-06,6.662626449987394e-06,1.434817043069372e-05,3.5078809571036414e-06
17025,6.808397518738064e-05,1.2389920205196903e-06,4.328881026915979e-06,8.528161855983865e-06,1.3211681683708079e-05,3.0152010473980738e-06
17027,0.00017647423109436842,3.4022720883470695e-05,1.1920107175565737e-05,3.198060695993949e-05,5.4409398761937574e-05,2.1244357706504074e-05
17029,0.00025004484555014205,5.1888985819364626e-05,3.47565230277022e-05,2.8782546263945543e-05,0.00011066559173772681,2.2880055006726558e-05
17031,0.011573247353626191,0.03248131569058256,0.021223813563500983,0.010604769267915936,0.012281039461020212,0.024597970730280708
17033,9.21988439939832e-05,2.3491288709053327e-05,7.403013930088195e-06,1.572379842197025e-05,2.3298019313205643e-05,7.2128338780895094e-06
17035,5.482079734374923e-05,9.416339355949646e-07,2.070334404177207e-06,4.530585985991428e-06,1.2075192936722438e-05,1.4780397291167028e-06
